pa_id,traffic_gain
0,514170.4467
1,310885.9902
2,241964.1975
3,852939.2651
4,2084835.78
5,2780993.786
6,598320.1922
7,2186035.552
8,1992345.148
9,1203699.615
10,74681.63996
11,20489.97988
12,2905444.842
13,1033503.825
14,403046.9601
15,446954.0326
16,1672307.746
17,641674.3207
18,60391.49801
19,1772664.083
20,1972918.562
21,1688292.176
22,20423.74474
23,495659.223
24,1297022.969
25,1407136.996
26,182408.5107
27,449341.4016
28,142676.4356
29,2454549.621
30,469377.6198
32,1741700.738
33,1588938.418
34,2754614.899
35,2738811.949
36,906971.3371
37,603377.9814
38,3098006.522
39,3615602.248
40,1693723.177
41,149635.7442
42,294717.4122
44,210264.1235
50,407201.8294
53,3659598.244
54,656734.44
56,1882957.989
57,782414.5206
58,867444.1921
59,1150946.635
60,1713475.192
61,1437083.166
62,532413.6564
63,442595.9104
64,721816.7714
65,1225664.985
66,163931.2015
68,4506359.326
69,1402406.966
70,874524.2903
71,378500.6674
72,570613.6538
73,1775942.862
74,2375048.259
75,3219547.623
76,396564.7891
77,2137149.243
78,465660.8133
79,463637.8487
80,1563832.846
81,1171023.9
82,2527152.887
83,254715.8924
84,1124404.458
85,2053209.236
86,1047417.136
87,357132.9476
88,229023.7313
89,2523785.936
90,2344392.336
91,266792.8736
92,968279.9934
93,615581.1264
94,1777139.967
95,1170532.711
96,573748.5652
97,606547.3979
98,1140584.483
99,1256658.268
100,540812.2284
101,1568520.591
102,1120530.329
103,2192109.426
104,615999.7647
105,1903302.929
106,517668.1743
107,1976619.253
108,1086168.746
109,1611598.367
110,1350038.354
111,1774274.363
112,1142656.994
113,2709356.826
114,11830.25909
115,1158594.307
116,1178129.902
118,729357.2772
119,131842.6531
120,503833.4244
121,656532.4021
122,83555.977
123,588179.5785
124,329573.159
126,2217455.765
127,101607.2829
128,495677.5514
129,350130.5313
130,1435449.486
131,319213.8122
132,374320.9226
133,323338.6291
134,937941.5087
135,204462.0843
136,374665.7592
137,734310.5713
138,177963.1003
139,1111593.688
140,333464.8982
141,4144475.134
142,2243478.22
143,187777.7676
144,26303.04781
145,45486.24956
146,109144.9203
147,104874.6357
148,648674.8873
149,59788.87699
150,245840.8036
151,56915.83935
152,30438.60061
153,432212.3398
154,794858.568
155,260928.841
156,246690.4722
157,166674.8527
158,259639.2697
159,4801.18506
160,201337.7632
161,937182.4458
162,1609886.965
163,485253.2618
164,376069.0146
165,1687909.386
166,619778.8407
167,340653.6684
168,349091.5665
169,1033527.664
170,69795.85238
171,863387.4814
172,1179826.717
173,2763308.697
174,614970.5766
175,639957.2168
176,25520.25402
177,1877462.265
178,460926.598
179,35099.74651
180,55397.20036
181,1092822.448
182,132889.0073
183,15783.49538
184,93649.40011
185,34420.57269
186,667663.9255
187,350736.807
188,194111.5105
189,240977.6096
190,627313.1069
191,48701.2894
192,323880.0645
193,29305.20559
194,153224.9713
195,633811.7539
196,684674.4438
197,446533.7528
198,248211.7478
199,292328.6983
202,977351.3763
203,5800064.998
205,972790.2577
208,29821.61758
209,152015.5735
210,637507.1766
211,484668.1286
212,378540.5828
213,24970.5868
214,5922748.864
215,673907.0473
216,663401.0914
217,746603.8356
218,1196081.007
219,769699.4902
220,165048.9212
221,4769982.204
222,139994.4224
223,2000197.24
224,25697.79835
225,225790.559
226,584043.3776
227,111330.5626
228,887763.2299
229,3868596.054
230,2336573.817
231,368688.9605
232,1415920.327
233,766514.3455
234,1203383.868
235,424646.7951
236,1202903.977
237,198100.0899
238,100550.8336
239,480620.5587
240,396108.3088
241,62040.69511
243,130830.45
244,260075.9281
245,140042.5946
247,243486.067
248,654659.2791
249,6313644.803
250,1509362.402
251,707584.8352
252,173151.2094
253,714717.4652
254,2013135.261
255,445589.0133
256,124530.6953
257,269164.5443
258,415864.312
260,215108.7249
261,234145.7544
262,134052.3471
263,115563.2081
264,254832.3409
265,63887.6745
266,49766.69537
267,313548.7758
268,223738.4301
269,39249.41264
270,70207.53365
271,62035.43141
272,947941.4803
273,770981.3498
274,412619.4165
275,2825506.475
276,1707214.32
277,2345853.741
278,1706134.726
279,150785.748
280,727826.2972
281,951381.3166
282,155859.5656
284,808965.0158
285,774421.6668
286,276059.0882
287,194751.0115
288,382397.6658
289,766528.9939
290,386129.2429
291,549654.8098
292,2206442.338
294,190104.5696
295,148829.2002
296,556826.6279
297,696457.3772
298,264135.0131
299,904528.4478
300,36640.64168
301,375804.6694
302,134304.8155
303,505266.8928
304,653304.0279
305,226236.185
306,492812.6786
307,274529.795
308,290923.9187
309,959126.5493
310,283115.7524
311,61025.57898
312,302637.7488
313,110232.4776
314,225546.4713
315,116549.2301
316,294822.8988
317,995657.1581
318,1488515.967
319,1762354.985
320,44640.98673
321,205440.5394
322,822779.7419
323,118111.9456
324,1265670.585
325,610130.2578
326,1709429.281
327,140004.3065
328,2298859.919
329,397773.461
330,1369898.438
331,265195.2009
332,798989.592
333,1980493.601
334,422298.0659
335,351865.8626
336,1337798.799
337,456097.8463
338,1984550.417
339,483095.886
340,641015.8792
341,3706424.239
342,1827560.966
343,535138.0631
344,4686258.064
345,3583829.419
346,3178007.897
347,3040125.577
348,995051.1664
349,1717754.894
350,631429.9668
351,987773.6916
352,1802206.964
353,743302.5085
354,1279859.359
355,500591.423
356,1834029.373
357,1495499.848
358,84946.66985
359,1595497.574
360,1160142.395
361,645271.71
362,1785160.958
363,910544.2118
364,257665.1105
365,737872.17
366,151584.5688
368,2199108.02
369,1293514.578
370,343976.8889
371,2365620.868
372,36103.94193
373,1673226.765
374,130589.0201
375,421293.4853
376,1592098.049
377,1452060.477
378,110809.5212
379,1092180.701
380,5551809.131
381,669244.8981
382,435732.7749
383,36151.98928
384,255775.7863
385,750890.3268
386,314820.4266
387,350964.2348
388,218292.9254
389,1303082.62
390,1418648.892
391,985141.5835
392,419938.1372
393,101067.2561
394,596513.1872
395,915761.0889
396,2058954.399
397,405281.0896
398,1692101.959
399,447800.644
400,551966.3276
401,625969.5703
402,144186.2234
403,364408.2347
404,48992.47906
405,13363.50135
407,639784.1528
409,799431.5671
410,38026.9084
411,1379382.235
412,66298.56089
413,932466.1046
414,1233374.884
415,667061.3456
416,739629.5373
417,2316212.597
418,582164.6107
420,148659.3222
421,189501.5704
422,1569713.925
423,1321364.233
424,304410.6092
425,287859.6617
427,1513564.382
428,46255.35159
429,1166465.792
430,1355828.698
431,246134.7985
432,607541.4482
433,683056.6587
434,1230611.777
437,264630.0341
439,463891.7004
440,1098716.338
441,494324.103
442,556120.0183
443,2204963.246
444,3235269.858
445,1108318.606
446,187320.2561
447,2852906.442
449,1302847.046
